image_file,main_category,sub_category
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8655_jpg.rf.4aa54ddc3897161dd491a4c7a28e6613.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8747_jpg.rf.4ce29492dec207e785f2622b713980ae.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8672_jpg.rf.4cdfc0b6bdfc58b048c94b7bec1f233e.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8736_jpg.rf.4df7c06abf88f34ffbd0ef3249b88cbf.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\image5-14-_jpeg_jpg.rf.4adcedaa2cf8044dea91ec59d8d637f6.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8901_jpg.rf.4dfce4d95f22be6b03a37b8a05ee4ed5.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8800_jpg.rf.4f00dc770cb461035928185320ee4f7f.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8823_jpg.rf.4e483592e7590a8c74e4543ea81b93f0.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8931_jpg.rf.4f104f6bf9f36f5396368d8c3231d5ad.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8802_jpg.rf.4f0ffeaad0d452b9247fa894cbe3dd7a.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9030_jpg.rf.4ecd63ec06f0f55c6bf0d50f0af6bb4e.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9018_jpg.rf.4e1294e05f72513168cdb68a57952340.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8715_jpg.rf.4fb71d5d14240cda3cbf0025ae495d62.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8678_jpg.rf.4f2fcaf2a0e663d9236ce2b968fafb70.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8710_jpg.rf.5031f7c11747eb074cfa15547bdca46f.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8975_jpg.rf.508439c74040e836bdec72819680f5e4.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9036_jpg.rf.509ca03e02e7c81d40d19dfce32f6dbb.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8840_jpg.rf.515361ad895d172ab4c36beb47cd646d.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8755_jpg.rf.505ae476fb440266fd8a5f38b4d8ea63.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8771_jpg.rf.502c894dbb48bf1261f4c28bd912aac8.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8843_jpg.rf.518fa75af2321d4419107729dbb06b0c.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8944_jpg.rf.528a91f36b36cf223079ab9b66513032.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\no-entry-before-12-20-13_3_orig_jpg.rf.51f1c6cbf654a880ff1a30e47631b244.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8966_jpg.rf.53595507322c7844c7982d7a1e5cd313.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8912_jpg.rf.542c6baca946e3935a0869082e949c24.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8953_jpg.rf.54d0ab235dd834162aa3ca566f674e8a.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\Capture8_JPG_jpg.rf.54e191405685d1ff3730e63be34e282b.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8698_jpg.rf.55b2d5c3ec07cc165586f526fe7aedaa.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9257_jpg.rf.54deb214bd93a762d10f93e32f87581a.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8952_jpg.rf.56aa6a3a2cd686ac982d63e1b8eb75b8.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9029_jpg.rf.567adb2d426f8ef09816d92e263c6930.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9239_jpg.rf.5650cb5c9a5a2252e52968359eef6f8f.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8932_jpg.rf.57716677961b49feac2e2c202889ef87.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9039_jpg.rf.57aed085ecae0b75d272a02448efbac8.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8975_jpg.rf.5893213834dc83ca1580ef1c232e8b16.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8747_jpg.rf.5895ea2c710333ff1ff1f30a226470c0.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8905_jpg.rf.59274a06ae7112e38229b684713a91c2.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8670_jpg.rf.5704130b70d22e0aab82bbe0a3c7c316.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8661_jpg.rf.56cc6b8cbcd3847799afe0ff24eb6473.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8984_jpg.rf.583aaa976866d38357036ec4343c42b2.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8743_jpg.rf.598cb0f1b762fd39738aa87987d8ba7a.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8769_jpg.rf.5995df2bc567ce1ba6f3648a812b6ced.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8822_jpg.rf.597ad1ef207116d93c32da3ab5700064.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9249_jpg.rf.59d18b36e0bd8ebc42cdfb1918ffbb69.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8826_jpg.rf.5a7b0eb61d2b80e9a9c0fdc9e6a2d6a6.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\1363_jpg.rf.5ad5248502275407dc056dc1102ccfcb.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8968_jpg.rf.5a1fa9088df2020eb92bc8aaf424ba7f.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8983_jpg.rf.5ba10f5448884b86497283a6b554a5ef.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8731_jpg.rf.5b6ab6d0afd9f8b0e7e0c4da2c7e72ad.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\image5-14-_jpeg_jpg.rf.59e1fc816c8e7dab0cbfe8092b9da20e.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8695_jpg.rf.5bf23c3b8d0ef6229132a08af0b67bbd.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8753_jpg.rf.5bc178fc76523adaeb2726bf7c5ef07a.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8675_jpg.rf.54c5f038ba18abb378fc759528998d67.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8729_jpg.rf.5cec1aec9aa81a29ff24d509ab7a92e7.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9036_jpg.rf.5d5c57a7948b2af66fb93d07c8a3435a.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8947_jpg.rf.5c4d097c061a85f3e31ba53cc99317ff.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9038_jpg.rf.5dbc806141dd199c68d17ca8d8fef67a.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8798_jpg.rf.5daf2290238474008ad4616afae640a1.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8966_jpg.rf.5ea1ba4dfd18504fb467e52b2753f67b.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8690_jpg.rf.5e09326f0a4efcc5ba5e6c7932fc9fa4.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\1363_jpg.rf.5eb64550466e5da9e6dbe72c5f199456.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8811_jpg.rf.5e9502f62b922e988c625e97f100652e.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8729_jpg.rf.5defaff3a977f662b5d7a3c0eaa61d97.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8837_jpg.rf.5f29d408404a1ceba3f686ac9a29ab4c.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\Capture3_JPG_jpg.rf.60d7902a2706b7d1b2b51b285f547ba9.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9033_jpg.rf.5f677ec8b382934b2d50ff60af7e7835.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8994_jpg.rf.61a940b695a1bd07d96076fa8e53a847.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8936_jpg.rf.61afee5e1bbd79694d726d6c1392ed48.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8205_jpg.rf.60e2a0e6d92e45de348e720df30ddceb.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8733_jpg.rf.610731f6e94234406592f171207f2bb8.jpg,Public Cleanliness & Public Property Damage,Vandalism
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8844_jpg.rf.61bf68a57bd42fe94a121526df7bd210.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8721_jpg.rf.603b47e8df16f466a7ab9a40d7e058ba.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8756_jpg.rf.6027266fc697c78310857297942a69d2.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8822_jpg.rf.624e70255ab4d7b0749b9188ab26147f.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9022_jpg.rf.627555244ff999c2bcfae82426272388.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8748_jpg.rf.61c35c6f924529d617d51c06794dbd4f.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9036_jpg.rf.62a50384ca8c8ab9911f7a6489fc7958.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8969_jpg.rf.6092ae84422546079f312b2b615e1997.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8987_jpg.rf.6341cd67e8041d5a621340fc7935bda8.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_9044_jpg.rf.647fa1a8eba197ebea95789435b9e826.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
C:\Users\lchat\One Drive-UoM\OneDrive - University of Moratuwa\Datathon-2025-\DATATHON 2025\DamagedSigns\train\IMG_8960_jpg.rf.646035c61b5901a8a1ffff8555832c00.jpg,Road & Infrastructure Issues,Broken/Missing Road Signs
